"Time"	"0 Si2"
231.26384	-44.103516
231.2644	-44.103516
231.26496	-44.103516
231.26552	-44.103516
231.26608	-44.197754
231.26664	-44.103516
231.2672	-44.009277
231.26776	-44.103516
231.26832	-43.915039
231.26888	-44.009277
231.26944	-44.009277
231.27	-43.915039
231.27056	-44.103516
231.27112	-44.103516
231.27168	-44.103516
231.27224	-44.103516
231.2728	-43.915039
231.27336	-44.009277
231.27392	-44.103516
231.27448	-44.103516
231.27504	-44.103516
231.2756	-44.103516
231.27616	-44.103516
231.27672	-44.291992
231.27728	-44.197754
231.27784	-44.291992
231.2784	-44.197754
231.27896	-44.103516
231.27952	-44.103516
231.28008	-44.197754
231.28064	-44.197754
231.2812	-44.103516
231.28176	-44.197754
231.28232	-44.103516
231.28288	-44.009277
231.28344	-44.009277
231.284	-44.291992
231.28456	-44.103516
231.28512	-43.915039
231.28568	-44.009277
231.28624	-44.009277
231.2868	-44.103516
231.28736	-44.197754
231.28792	-44.103516
231.28848	-44.197754
231.28904	-44.009277
231.2896	-44.009277
231.29016	-43.915039
231.29072	-43.915039
231.29128	-44.009277
231.29184	-44.103516
231.2924	-43.915039
231.29296	-44.103516
231.29352	-44.197754
231.29408	-44.103516
231.29464	-44.103516
231.2952	-44.197754
231.29576	-44.197754
231.29632	-44.197754
231.29688	-44.009277
231.29744	-44.103516
231.298	-44.103516
231.29856	-44.197754
231.29912	-44.103516
231.29968	-44.103516
231.30024	-44.009277
231.3008	-44.009277
231.30136	-43.915039
231.30192	-43.726563
231.30248	-43.820801
231.30304	-43.820801
231.3036	-43.915039
231.30416	-43.915039
231.30472	-43.915039
231.30528	-43.820801
231.30584	-43.915039
231.3064	-43.820801
231.30696	-43.632324
231.30752	-43.915039
231.30808	-43.915039
231.30864	-43.915039
231.3092	-44.009277
231.30976	-44.103516
231.31032	-44.103516
231.31088	-44.291992
231.31144	-44.291992
231.312	-44.38623
231.31256	-44.480469
231.31312	-44.103516
231.31368	-44.197754
231.31424	-44.197754
231.3148	-44.103516
231.31536	-44.480469
231.31592	-44.291992
231.31648	-44.291992
231.31704	-44.38623
231.3176	-44.197754
231.31816	-44.197754
231.31872	-44.197754
231.31928	-44.197754
231.31984	-44.197754
231.3204	-44.291992
231.32096	-44.197754
231.32152	-44.38623
231.32208	-44.480469
231.32264	-44.291992
231.3232	-44.291992
231.32376	-44.38623
231.32432	-44.574707
231.32488	-44.574707
231.32544	-44.668945
231.326	-44.857422
231.32656	-45.045898
231.32712	-45.140137
231.32768	-45.234375
231.32824	-45.234375
231.3288	-45.234375
231.32936	-45.045898
231.32992	-45.234375
231.33048	-45.422852
231.33104	-45.51709
231.3316	-45.51709
231.33216	-45.705566
231.33272	-45.705566
231.33328	-45.799805
231.33384	-45.988281
231.3344	-45.705566
231.33496	-45.799805
231.33552	-45.799805
231.33608	-45.988281
231.33664	-46.08252
231.3372	-46.08252
231.33776	-46.365234
231.33832	-46.270996
231.33888	-46.270996
231.33944	-46.459473
231.34	-46.365234
231.34056	-46.459473
231.34112	-46.553711
231.34168	-46.553711
231.34224	-46.742188
231.3428	-46.742188
231.34336	-47.024902
231.34392	-47.024902
231.34448	-46.930664
231.34504	-47.024902
231.3456	-46.930664
231.34616	-46.930664
231.34672	-47.024902
231.34728	-47.119141
231.34784	-47.213379
231.3484	-47.213379
231.34896	-47.307617
231.34952	-47.213379
231.35008	-47.307617
231.35064	-47.307617
231.3512	-47.213379
231.35176	-47.119141
231.35232	-47.024902
231.35288	-47.213379
231.35344	-47.401855
231.354	-47.401855
231.35456	-47.401855
231.35512	-47.401855
231.35568	-47.401855
231.35624	-47.401855
231.3568	-47.496094
231.35736	-47.307617
231.35792	-47.496094
231.35848	-47.590332
231.35904	-47.590332
231.3596	-47.496094
231.36016	-47.778809
231.36072	-47.778809
231.36128	-47.590332
231.36184	-47.68457
231.3624	-47.590332
231.36296	-47.590332
231.36352	-47.590332
231.36408	-47.590332
231.36464	-47.778809
231.3652	-47.778809
231.36576	-47.873047
231.36632	-47.68457
231.36688	-47.68457
231.36744	-47.778809
231.368	-47.590332
231.36856	-47.307617
231.36912	-47.496094
231.36968	-47.401855
231.37024	-47.496094
231.3708	-47.496094
231.37136	-47.496094
231.37192	-47.496094
231.37248	-47.496094
231.37304	-47.401855
231.3736	-47.496094
231.37416	-47.401855
231.37472	-47.307617
231.37528	-47.401855
231.37584	-47.307617
231.3764	-47.401855
231.37696	-47.590332
231.37752	-47.496094
231.37808	-47.496094
231.37864	-47.401855
231.3792	-47.590332
231.37976	-47.307617
231.38032	-47.401855
231.38088	-47.496094
231.38144	-47.307617
231.382	-47.496094
231.38256	-47.307617
231.38312	-47.307617
231.38368	-47.307617
231.38424	-47.307617
231.3848	-47.119141
231.38536	-47.119141
231.38592	-47.024902
231.38648	-47.024902
231.38704	-47.213379
231.3876	-46.930664
231.38816	-47.119141
231.38872	-47.119141
231.38928	-47.024902
231.38984	-46.930664
231.3904	-46.836426
231.39096	-47.024902
231.39152	-47.024902
231.39208	-47.024902
231.39264	-47.119141
231.3932	-47.307617
231.39376	-47.213379
231.39432	-47.213379
231.39488	-47.119141
231.39544	-47.119141
231.396	-47.213379
231.39656	-47.119141
231.39712	-47.119141
231.39768	-47.024902
231.39824	-47.119141
231.3988	-47.213379
231.39936	-47.119141
231.39992	-47.307617
231.40048	-47.213379
231.40104	-47.024902
231.4016	-46.930664
231.40216	-46.836426
231.40272	-46.836426
231.40328	-46.836426
231.40384	-46.836426
231.4044	-47.024902
231.40496	-46.836426
231.40552	-46.836426
231.40608	-46.930664
231.40664	-47.024902
231.4072	-46.930664
231.40776	-46.930664
231.40832	-47.024902
231.40888	-47.024902
231.40944	-46.930664
231.41	-47.119141
231.41056	-47.307617
231.41112	-47.213379
231.41168	-47.307617
231.41224	-47.307617
231.4128	-47.213379
231.41336	-47.307617
231.41392	-47.307617
231.41448	-47.401855
231.41504	-47.307617
231.4156	-47.496094
231.41616	-47.590332
231.41672	-47.68457
231.41728	-47.68457
231.41784	-47.68457
231.4184	-47.496094
231.41896	-47.590332
231.41952	-47.68457
231.42008	-47.68457
231.42064	-47.873047
231.4212	-48.061523
231.42176	-48.061523
231.42232	-47.967285
231.42288	-47.873047
231.42344	-48.25
231.424	-48.25
231.42456	-48.155762
231.42512	-48.25
231.42568	-48.25
231.42624	-48.344238
231.4268	-48.626953
231.42736	-48.721191
231.42792	-48.721191
231.42848	-48.532715
231.42904	-48.532715
231.4296	-48.626953
231.43016	-48.721191
231.43072	-48.721191
231.43128	-48.909668
231.43184	-48.721191
231.4324	-48.909668
231.43296	-48.721191
231.43352	-48.81543
231.43408	-48.909668
231.43464	-48.81543
231.4352	-48.532715
231.43576	-48.81543
231.43632	-48.721191
231.43688	-48.721191
231.43744	-48.81543
231.438	-48.81543
231.43856	-48.909668
231.43912	-48.909668
231.43968	-48.721191
231.44024	-48.721191
231.4408	-48.81543
231.44136	-48.81543
231.44192	-49.003906
231.44248	-49.003906
231.44304	-49.003906
231.4436	-49.098145
231.44416	-49.286621
231.44472	-49.286621
231.44528	-49.098145
231.44584	-49.098145
231.4464	-49.098145
231.44696	-49.003906
231.44752	-49.098145
231.44808	-49.098145
231.44864	-49.003906
231.4492	-49.003906
231.44976	-48.909668
231.45032	-48.721191
231.45088	-48.721191
231.45144	-48.81543
231.452	-48.532715
231.45256	-48.626953
231.45312	-48.721191
231.45368	-48.626953
231.45424	-48.532715
231.4548	-48.626953
231.45536	-48.532715
231.45592	-48.626953
231.45648	-48.532715
231.45704	-48.344238
231.4576	-48.438477
231.45816	-48.532715
231.45872	-48.532715
231.45928	-48.532715
231.45984	-48.626953
231.4604	-48.721191
231.46096	-48.721191
231.46152	-48.721191
231.46208	-48.532715
231.46264	-48.81543
231.4632	-48.626953
231.46376	-48.532715
231.46432	-48.532715
231.46488	-48.626953
231.46544	-48.532715
231.466	-48.626953
231.46656	-48.626953
231.46712	-48.626953
231.46768	-48.532715
231.46824	-48.344238
231.4688	-48.25
231.46936	-48.344238
231.46992	-48.438477
231.47048	-48.438477
231.47104	-48.344238
231.4716	-48.438477
231.47216	-48.344238
231.47272	-48.25
231.47328	-48.25
231.47384	-48.155762
231.4744	-48.25
231.47496	-48.25
231.47552	-48.155762
231.47608	-48.25
231.47664	-48.344238
231.4772	-48.532715
231.47776	-48.532715
231.47832	-48.532715
231.47888	-48.25
231.47944	-48.25
231.48	-48.25
231.48056	-48.25
231.48112	-48.344238
231.48168	-48.344238
231.48224	-48.25
231.4828	-48.25
231.48336	-48.155762
231.48392	-48.25
231.48448	-48.061523
231.48504	-48.061523
231.4856	-47.967285
231.48616	-48.155762
231.48672	-48.155762
231.48728	-48.155762
231.48784	-48.155762
231.4884	-48.061523
231.48896	-47.967285
231.48952	-47.967285
231.49008	-47.967285
231.49064	-47.967285
231.4912	-47.967285
231.49176	-47.967285
231.49232	-47.967285
231.49288	-48.061523
231.49344	-48.061523
231.494	-48.155762
231.49456	-48.155762
231.49512	-48.25
231.49568	-48.061523
231.49624	-47.873047
231.4968	-48.061523
231.49736	-48.061523
231.49792	-48.155762
231.49848	-48.155762
231.49904	-48.155762
231.4996	-48.155762
231.50016	-48.155762
231.50072	-48.155762
231.50128	-48.155762
231.50184	-47.967285
231.5024	-48.061523
231.50296	-48.061523
231.50352	-48.25
231.50408	-48.344238
231.50464	-48.344238
231.5052	-48.532715
231.50576	-48.344238
231.50632	-48.438477
231.50688	-48.532715
231.50744	-48.438477
231.508	-48.626953
231.50856	-48.626953
231.50912	-48.626953
231.50968	-48.81543
231.51024	-49.003906
231.5108	-49.098145
231.51136	-49.003906
231.51192	-49.003906
231.51248	-49.003906
231.51304	-49.098145
231.5136	-49.098145
231.51416	-49.192383
231.51472	-49.286621
231.51528	-49.192383
231.51584	-49.286621
231.5164	-49.286621
231.51696	-49.286621
231.51752	-49.380859
231.51808	-49.380859
231.51864	-49.192383
231.5192	-49.192383
231.51976	-49.380859
231.52032	-49.380859
231.52088	-49.380859
231.52144	-49.569336
231.522	-49.475098
231.52256	-49.569336
231.52312	-49.569336
231.52368	-49.569336
231.52424	-49.569336
231.5248	-49.569336
231.52536	-49.569336
231.52592	-49.569336
231.52648	-49.757813
231.52704	-49.946289
231.5276	-49.946289
231.52816	-49.946289
231.52872	-49.852051
231.52928	-50.040527
231.52984	-49.852051
231.5304	-49.946289
231.53096	-49.852051
